Key,Type,Desc,Chinese (PRC),English,Chinese (Traditional),Japanese
entrance/new game,Text,,新游戏,New Game,,
entrance/load game,Text,,读取进度,Load Game,,
entrance/collection,Text,,鉴赏模式,Gallery,,
entrance/collection[touch],Text,,鉴赏模式,Collection,,
entrance/credit,Text,,制作团队,Credit,,
方正像素12,Font,,方正像素12,方正像素12,,
entrance/death view,Text,,死亡插图,death,,
entrance/hidden rooms,Text,,隐藏房间,hidden,,
deaths/death0,Text,,僵尸咬死,Zombie,,
deaths/death1,Text,,巨婴玩死,Big baby,,
deaths/death2,Text,,肉虫吸死,Worm,,
deaths/death3,Text,,幽灵吊死,Ghost,,
deaths/death4,Text,,钉墙陷阱,Squeeze,,
deaths/death5,Text,,穿刺陷阱,Spike,,
deaths/death6,Text,,毒气毒死,Poison,,
deaths/death7,Text,,电锯分尸,Saw,,
deaths/death8,Text,,波波虐死,Murder,,
deaths/death9,Text,,巨虫杀死,Big Worm,,
deaths/death10,Text,,兔子啃光,Rabbit,,
deaths/death11,Text,,无名咬死,Monster,,
deaths/death12,Text,,落石砸死,Falled Rock,,
deaths/death13,Text,,飞刺扎死,Fly Sword,,
deaths/death14,Text,,激光射死,Laser,,
deaths/death15,Text,,爬行者杀死,Creeper,,
entrance/leaders,Text,,主制作,Leaders,,
entrance/artwork,Text,,美术,Artworks,,
entrance/thx,Text,,特别鸣谢,Thanks,,
entrance/director,Text,,制作人,Director,,
entrance/program,Text,,程序员,Program,,
entrance/Music,Text,,音乐音效,Music,,
hiddens/hidden0,Text,,精液乐园,Sperm Land,,
hiddens/hidden1,Text,,工口十人,Ten Members,,
hiddens/hidden2,Text,,C菌直播,C's live,,
hiddens/hidden3,Text,,孙渣好懒,Lazy Sun,,
hiddens/hidden4,Text,,Stan女神,Lovely Stan,,
hiddens/hidden5,Text,,鳄鱼同学,Crocodile,,
hiddens/hidden6,Text,,千岛酱,Qian Dao,,
hiddens/hidden7,Text,,史悲,Space,,
hiddens/hidden8,Text,,支配者Light,Light,,
hiddens/hidden9,Text,,会长小白,Chairman,,
hiddens/hidden10,Text,,美术室,Art Room,,
menus/item,Text,,道具,Item,,
menus/status,Text,,状态,Status,,
menus/quit,Text,,退出,Quit,,
menus/status labels,Text,,"游戏时间：
保存次数：
使用医疗包次数：
杀死敌人数：
发现隐藏房间数：","Play Time:
Save Times:
Use First-aid packet
s:
Kills:
Find Hidden Places:
",,
menus/use,Text,,使用,Use,,
menus/combine,Text,,组合,Combine,,
menus/hint,Text,,说明,Hint,,
menus/equip,Text,,装备,Equip,,
menus/yes,Text,,是,Yes,,
menus/no,Text,,否,No,,
menus/replace pants?,Text,,是否覆盖之前的内裤？,Replace the pants?,,
menus/save data,Text,,"游戏时间：
HP：","Play Time:
HP:",,
menus/take,Text,,取出,Take,,
menus/put in,Text,,存入,Put in,,
