Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
entrance/new game,Text,,New Game,新游戏,,
entrance/load game,Text,,Load Game,读取进度,,
entrance/collection,Text,,Gallery,鉴赏模式,,
entrance/collection[touch],Text,,Collection,鉴赏模式,,
entrance/credit,Text,,Credits,制作团队,,
方正像素12,Font,,方正像素12,方正像素12,,
entrance/death view,Text,,death,死亡插图,,
entrance/hidden rooms,Text,,hidden,隐藏房间,,
deaths/death0,Text,,Zombie,僵尸咬死,,
deaths/death1,Text,,Giant,巨婴玩死,,
deaths/death2,Text,,Worm,肉虫吸死,,
deaths/death3,Text,,Ghost,幽灵吊死,,
deaths/death4,Text,,Squeeze,钉墙陷阱,,
deaths/death5,Text,,Spike,穿刺陷阱,,
deaths/death6,Text,,Poison,毒气毒死,,
deaths/death7,Text,,Saw,电锯分尸,,
deaths/death8,Text,,Murder,波波虐死,,
deaths/death9,Text,,Big Worm,巨虫杀死,,
deaths/death10,Text,,Rabbit,兔子啃光,,
deaths/death11,Text,,Monster,无名咬死,,
deaths/death12,Text,,Falled Rock,落石砸死,,
deaths/death13,Text,,Fly Sword,飞刺扎死,,
deaths/death14,Text,,Laser,激光射死,,
deaths/death15,Text,,Creeper,爬行者杀死,,
entrance/leaders,Text,,Leaders,主制作,,
entrance/artwork,Text,,Artworks,美术,,
entrance/thx,Text,,Thanks,特别鸣谢,,
entrance/director,Text,,Director,制作人,,
entrance/program,Text,,Program,程序员,,
entrance/Music,Text,,Music,音乐音效,,
hiddens/hidden0,Text,,Sperm Land,精液乐园,,
hiddens/hidden1,Text,,Ten Members,工口十人,,
hiddens/hidden2,Text,,C's live,C菌直播,,
hiddens/hidden3,Text,,Lazy Sun,孙渣好懒,,
hiddens/hidden4,Text,,Lovely Stan,Stan女神,,
hiddens/hidden5,Text,,Crocodile,鳄鱼同学,,
hiddens/hidden6,Text,,Qian Dao,千岛酱,,
hiddens/hidden7,Text,,Space,史悲,,
hiddens/hidden8,Text,,Light,支配者Light,,
hiddens/hidden9,Text,,Chairman,会长小白,,
hiddens/hidden10,Text,,Art Room,美术室,,
menus/item,Text,,Item,道具,,
menus/status,Text,,Status,状态,,
menus/quit,Text,,Quit,退出,,
menus/status labels,Text,,"Play Time:
Save Times:
Use First-aid packets:
Kills:
Find Hidden Places:
","游戏时间：
保存次数：
使用医疗包次数：
杀死敌人数：
发现隐藏房间数：",,
menus/use,Text,,Use,使用,,
menus/combine,Text,,Combine,组合,,
menus/hint,Text,,Hint,说明,,
menus/equip,Text,,Equip,装备,,
menus/yes,Text,,Yes,是,,
menus/no,Text,,No,否,,
menus/replace pants?,Text,,Replace the pants?,是否覆盖之前的内裤？,,
menus/save data,Text,,"Play Time:
HP:","游戏时间：
HP：",,
menus/take,Text,,Take,取出,,
menus/put in,Text,,Put in,存入,,
menus/save done,Text,,Save Done,更换成功,,
savepants/text0,Text,," Kio
【!?!!????!?】"," Kio
【！？！？？！？？！】",,
savepants/text1,Text,," Kio
【Is there a pair of  underpants!?】"," Kio
【怎么这里有一条内裤！？】",,
savepants/text2,Text,," Kio
【It seems to be quite  tidy ..........】"," Kio
【而且好像还蛮干净的。。。。。】",,
decroration/flower pot,Text,," Kio
【A flower pot.】"," Kio
【普通的盆栽。】",,
items/bullet,Text,,Pick up the pistol ammo?,有一盒手枪子弹，是否拾取？,,
items/pick bullet,Text,,Get the pistol ammo,拾取了一盒子弹,,
items/blink,Text,,Pick up the key?,有一把铁钥匙，是否拾取？,,
items/pick blink,Text,,Get a key,拾取了钥匙,,
menus/nothing happened,Text,,Nothing happened,没有反应,,
menus/combine self,Text,,Can not combine with itself,不能和自己合体,,
